symbol,company_name,categories
ESI,Element Solutions Inc,"US stocks,US stocks - not owned"
ALGM,"Allegro MicroSystems, Inc.","US stocks,US stocks - not owned"
MTG,MGIC Investment Corporation,"US stocks,US stocks - not owned"
ENLC,"EnLink Midstream, LLC","US stocks,US stocks - not owned"
MRVGF,Mirvac Group,"US stocks,US stocks - not owned"
HLPPY,Hang Lung Properties Limited,"US stocks,US stocks - not owned"
VLY,Valley National Bancorp,"US stocks,US stocks - not owned"
STNE,StoneCo Ltd.,"US stocks,US stocks - not owned"
KGFHY,Kingfisher plc,"US stocks,US stocks - not owned"
IGT,International Game Technology PLC,"US stocks,US stocks - not owned"
CADE,Cadence Bank,"US stocks,US stocks - not owned"
AA,Alcoa Corporation,"US stocks,US stocks - not owned"
RITM,Rithm Capital Corp.,"US stocks,US stocks - not owned"
COLB,"Columbia Banking System, Inc.","US stocks,US stocks - not owned"
DNB,"Dun & Bradstreet Holdings, Inc.","US stocks,US stocks - not owned"
BXSL,Blackstone Secured Lending Fund,"US stocks,US stocks - not owned"
CHX,ChampionX Corporation,"US stocks,US stocks - not owned"
AUR,"Aurora Innovation, Inc.","US stocks,US stocks - not owned"
PDI,PIMCO Dynamic Income Fund,"US stocks,US stocks - not owned"
CWAN,"Clearwater Analytics Holdings, Inc.","US stocks,US stocks - not owned"
BEPC,Brookfield Renewable Corporation,"US stocks,US stocks - not owned"
DRS,"Leonardo DRS, Inc.","US stocks,US stocks - not owned"
PAAS,Pan American Silver Corp.,"US stocks,US stocks - not owned"
ZLNDY,Zalando SE,"US stocks,US stocks - not owned"
BLCO,Bausch + Lomb Corporation,"US stocks,US stocks - not owned"
HOMB,"Home Bancshares, Inc. (Conway, AR)","US stocks,US stocks - not owned"
ZWS,Zurn Elkay Water Solutions Corporation,"US stocks,US stocks - not owned"
ALSMY,Alstom SA,"US stocks,US stocks - not owned"
DLO,DLocal Limited,"US stocks,US stocks - not owned"
BROS,Dutch Bros Inc.,"US stocks,US stocks - not owned"
LYFT,"Lyft, Inc.","US stocks,US stocks - not owned"
M,"Macy's, Inc.","US stocks,US stocks - not owned"
PWSC,"PowerSchool Holdings, Inc.","US stocks,US stocks - not owned"
ALIT,"Alight, Inc.","US stocks,US stocks - not owned"
ONB,Old National Bancorp,"US stocks,US stocks - not owned"
AGI,Alamos Gold Inc.,"US stocks,US stocks - not owned"
KRG,Kite Realty Group Trust,"US stocks,US stocks - not owned"
KD,"Kyndryl Holdings, Inc.","US stocks,US stocks - not owned"
FNB,F.N.B. Corporation,"US stocks,US stocks - not owned"
BRFS,BRF S.A.,"US stocks,US stocks - not owned"
JHG,Janus Henderson Group plc,"US stocks,US stocks - not owned"
CWEN,"Clearway Energy, Inc.","US stocks,US stocks - not owned"
FLO,"Flowers Foods, Inc.","US stocks,US stocks - not owned"
UGI,UGI Corporation,"US stocks,US stocks - not owned"
NTCO,Natura &Co Holding S.A.,"US stocks,US stocks - not owned"
ALKS,Alkermes plc,"US stocks,US stocks - not owned"
LNC,Lincoln National Corporation,"US stocks,US stocks - not owned"
TKC,Turkcell Iletisim Hizmetleri A.S.,"US stocks,US stocks - not owned"
FRO,Frontline plc,"US stocks,US stocks - not owned"
SID,Companhia Siderúrgica Nacional,"US stocks,US stocks - not owned"
ACAD,ACADIA Pharmaceuticals Inc.,"US stocks,US stocks - not owned"
ETRN,Equitrans Midstream Corporation,"US stocks,US stocks - not owned"
WU,The Western Union Company,"US stocks,US stocks - not owned"
DXC,DXC Technology Company,"US stocks,US stocks - not owned"
RDN,Radian Group Inc.,"US stocks,US stocks - not owned"
RIG,Transocean Ltd.,"US stocks,US stocks - not owned"
SNDR,"Schneider National, Inc.","US stocks,US stocks - not owned"
RVMD,"Revolution Medicines, Inc.","US stocks,US stocks - not owned"
RCM,R1 RCM Inc.,"US stocks,US stocks - not owned"
GOL,Gol Linhas Aéreas Inteligentes S.A.,"US stocks,US stocks - not owned"
SLM,SLM Corporation,"US stocks,US stocks - not owned"
CHFLF,China Feihe Limited,"US stocks,US stocks - not owned"
GME,GameStop Corp.,"US stocks,US stocks - not owned"
HCP,"HashiCorp, Inc.","US stocks,US stocks - not owned"
PTEN,"Patterson-UTI Energy, Inc.","US stocks,US stocks - not owned"
FFIN,"First Financial Bankshares, Inc.","US stocks,US stocks - not owned"
ASAN,"Asana, Inc.","US stocks,US stocks - not owned"
PSNY,Polestar Automotive Holding UK PLC,"US stocks,US stocks - not owned"
SHC,Sotera Health Company,"US stocks,US stocks - not owned"
HUN,Huntsman Corporation,"US stocks,US stocks - not owned"
BILI,Bilibili Inc.,"US stocks,US stocks - not owned"
JOBY,"Joby Aviation, Inc.","US stocks,US stocks - not owned"
SATS,EchoStar Corporation,"US stocks,US stocks - not owned"
NVST,Envista Holdings Corporation,"US stocks,US stocks - not owned"
OGN,Organon & Co.,"US stocks,US stocks - not owned"
MGY,Magnolia Oil & Gas Corporation,"US stocks,US stocks - not owned"
AQN,Algonquin Power & Utilities Corp.,"US stocks,US stocks - not owned"
GGAL,Grupo Financiero Galicia S.A.,"US stocks,US stocks - not owned"
PAGS,PagSeguro Digital Ltd.,"US stocks,US stocks - not owned"
WYNMY,"Wynn Macau, Limited","US stocks,US stocks - not owned"
INSM,Insmed Incorporated,"US stocks,US stocks - not owned"
GT,The Goodyear Tire & Rubber Company,"US stocks,US stocks - not owned"
CPG,Crescent Point Energy Corp.,"US stocks,US stocks - not owned"
CEF,Sprott Physical Gold and Silver Trust,"US stocks,US stocks - not owned"
FLNC,"Fluence Energy, Inc.","US stocks,US stocks - not owned"
ENIC,Enel Chile S.A.,"US stocks,US stocks - not owned"
AEO,"American Eagle Outfitters, Inc.","US stocks,US stocks - not owned"
NXE,NexGen Energy Ltd.,"US stocks,US stocks - not owned"
TFSL,TFS Financial Corporation,"US stocks,US stocks - not owned"
WEN,The Wendy's Company,"US stocks,US stocks - not owned"
PAGP,"Plains GP Holdings, L.P.","US stocks,US stocks - not owned"
EPRT,"Essential Properties Realty Trust, Inc.","US stocks,US stocks - not owned"
ESMT,"EngageSmart, Inc.","US stocks,US stocks - not owned"
VRRM,Verra Mobility Corporation,"US stocks,US stocks - not owned"
MDU,"MDU Resources Group, Inc.","US stocks,US stocks - not owned"
VERX,"Vertex, Inc.","US stocks,US stocks - not owned"
BTG,B2Gold Corp.,"US stocks,US stocks - not owned"
BOX,"Box, Inc.","US stocks,US stocks - not owned"
FMCC,Federal Home Loan Mortgage Corporation,"US stocks,US stocks - not owned"
ALVO,Alvotech,"US stocks,US stocks - not owned"
ASAI,Sendas Distribuidora S.A.,"US stocks,US stocks - not owned"
BVN,Compañía de Minas Buenaventura S.A.A.,"US stocks,US stocks - not owned"
APLE,"Apple Hospitality REIT, Inc.","US stocks,US stocks - not owned"
LPL,"LG Display Co., Ltd.","US stocks,US stocks - not owned"
NEOG,Neogen Corporation,"US stocks,US stocks - not owned"
RLJ,RLJ Lodging Trust,"US stocks,US stocks - not owned"
PSLV,Sprott Physical Silver Trust,"US stocks,US stocks - not owned"
MAC,The Macerich Company,"US stocks,US stocks - not owned"
BGC,"BGC Group, Inc.","US stocks,US stocks - not owned"
FOLD,"Amicus Therapeutics, Inc.","US stocks,US stocks - not owned"
PENN,"PENN Entertainment, Inc.","US stocks,US stocks - not owned"
PYCR,"Paycor HCM, Inc.","US stocks,US stocks - not owned"
MARA,"Marathon Digital Holdings, Inc.","US stocks,US stocks - not owned"
IRT,"Independence Realty Trust, Inc.","US stocks,US stocks - not owned"
EURN,Euronav NV,"US stocks,US stocks - not owned"
CRDO,Credo Technology Group Holding Ltd,"US stocks,US stocks - not owned"
LYSDY,Lynas Rare Earths Limited,"US stocks,US stocks - not owned"
HMY,Harmony Gold Mining Company Limited,"US stocks,US stocks - not owned"
BXMT,"Blackstone Mortgage Trust, Inc.","US stocks,US stocks - not owned"
